,Authority,variable,Issues,Stock,legend
0,Barking & Dagenham,Adult Fiction,85238.00000268,48499.00000521,Others
1,Barking & Dagenham,Adult Non-Fiction,45438.00000212,33261.99999428,Others
2,Barking & Dagenham,Children's Fiction,139544.99999946,39667.9999993,Others
3,Barking & Dagenham,Children's Non-Fiction,26622.99999381,13620.999999569,Others
4,Barking & Dagenham,Adult Talking Book,8168.000000162,3621.999999929,Others
5,Barking & Dagenham,Children's Talking Book,231.000000076,301.9999999989,Others
6,Barking & Dagenham,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",1280.9999999763002,6967.999999545999,Others
7,Barnet,Adult Fiction,228171.00001428995,72193.99998782,Barnet
8,Barnet,Adult Non-Fiction,139527.99998715997,62436.99998865999,Barnet
9,Barnet,Children's Fiction,459558.9998144999,94202.99999048999,Barnet
10,Barnet,Children's Non-Fiction,102552.00000941,28761.999998099996,Barnet
11,Barnet,Adult Talking Book,7901.999998424999,4901.999998058,Barnet
12,Barnet,Children's Talking Book,289.99999994309997,156.9999999651,Barnet
13,Barnet,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",12388.999998932999,16157.999999529999,Barnet
14,Bedford,Adult Fiction,209003.99992550001,45628.000007530005,Others
15,Bedford,Adult Non-Fiction,82041.00000597001,27639.000000010004,Others
16,Bedford,Children's Fiction,236910.9999358,34573.00000332,Others
17,Bedford,Children's Non-Fiction,30595.00000513,8358.999999606001,Others
18,Bedford,Adult Talking Book,8870.999999529,3546.000000692,Others
19,Bedford,Children's Talking Book,2334.9999998350004,593.9999999391,Others
20,Bedford,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",3083.000000413,3282.0000004880003,Others
21,Bexley,Adult Fiction,217114.99999215,49301.999992310004,Others
22,Bexley,Adult Non-Fiction,118340.99999722,33848.000002700006,Others
23,Bexley,Children's Fiction,259506.99989110004,44755.99998857,Others
24,Bexley,Children's Non-Fiction,43978.99998804001,14154.000000595,Others
25,Bexley,Adult Talking Book,6544.0000012010005,5992.000000441,Others
26,Bexley,Children's Talking Book,1067.0000001232002,739.9999998781,Others
27,Bexley,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",1718.9999999809002,2491.000000047,Others
28,Blackburn with Darwen,Adult Fiction,107903.99999904,30614.9999946,Others
29,Blackburn with Darwen,Adult Non-Fiction,40831.999994699996,25288.999996289996,Others
30,Blackburn with Darwen,Children's Fiction,76574.00000517,17458.99999905,Others
31,Blackburn with Darwen,Children's Non-Fiction,15288.000000449998,8706.000000711,Others
32,Blackburn with Darwen,Adult Talking Book,7023.999999696,1830.00000033,Others
33,Blackburn with Darwen,Children's Talking Book,451.99999992689993,462.00000004649996,Others
34,Blackburn with Darwen,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",1059.0000000609,666.9999999534,Others
35,Blackpool,Adult Fiction,151739.000061,40323.00000254,Others
36,Blackpool,Adult Non-Fiction,44130.00000678001,28409.99999884,Others
37,Blackpool,Children's Fiction,63760.00000248,26774.99999558,Others
38,Blackpool,Children's Non-Fiction,9453.99999985,7705.999999336001,Others
39,Blackpool,Adult Talking Book,6864.000000232,4612.999999346001,Others
40,Blackpool,Children's Talking Book,161.000000029,101.00000001040002,Others
41,Blackpool,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",299.99999995359997,162.9999999878,Others
42,Bolton,Adult Fiction,205989.00000908002,56604.99999604001,Others
43,Bolton,Adult Non-Fiction,71814.99999256001,56707.99999592,Others
44,Bolton,Children's Fiction,155865.99999404,48985.999989280004,Others
45,Bolton,Children's Non-Fiction,30530.99998956,16642.999998620002,Others
46,Bolton,Adult Talking Book,13111.000000920001,6258.999999884,Others
47,Bolton,Children's Talking Book,484.00000005320004,390.000000132,Others
48,Bolton,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",1870.9999999032,3785.0000007280005,Others
49,"Bournemouth, Christchurch & Poole",Adult Fiction,475366.99986960005,138071.9999864,Others
50,"Bournemouth, Christchurch & Poole",Adult Non-Fiction,203520.99998783003,132242.00000067998,Others
51,"Bournemouth, Christchurch & Poole",Children's Fiction,402779.0001024,85086.99999393,Others
52,"Bournemouth, Christchurch & Poole",Children's Non-Fiction,58523.00001137001,28926.999999751,Others
53,"Bournemouth, Christchurch & Poole",Adult Talking Book,19128.000001444998,13708.000001248001,Others
54,"Bournemouth, Christchurch & Poole",Children's Talking Book,3872.9999999227,1806.0000001342,Others
55,"Bournemouth, Christchurch & Poole","Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",18086.000001041,24431.000001020002,Others
56,Brent,Adult Fiction,186319.99999728,56004.00000754,Comparitor authority
57,Brent,Adult Non-Fiction,174253.99999120002,46992.999997499996,Comparitor authority
58,Brent,Children's Fiction,448839.00008080003,76136.00000826,Comparitor authority
59,Brent,Children's Non-Fiction,84588.99998722,25090.00000151,Comparitor authority
60,Brent,Adult Talking Book,7901.999999052001,3670.0000009320006,Comparitor authority
61,Brent,Children's Talking Book,808.0000001342,507.0000001638,Comparitor authority
62,Brent,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",4009.999999266,3532.999999188,Comparitor authority
63,Brighton & Hove,Adult Fiction,245148.00000558997,79487.99999509999,Others
64,Brighton & Hove,Adult Non-Fiction,173687.00000981,98828.99999177999,Others
65,Brighton & Hove,Children's Fiction,302529.99989659997,65244.000014009995,Others
66,Brighton & Hove,Children's Non-Fiction,44509.00000301,18391.999998583997,Others
67,Brighton & Hove,Adult Talking Book,13443.999998598,7629.000000845,Others
68,Brighton & Hove,Children's Talking Book,2365.9999999711995,891.0000000343999,Others
69,Brighton & Hove,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",38302.999997479994,25999.000000404998,Others
70,Bristol,Adult Fiction,460103.00001176,114627.00000275999,Others
